,Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Address
0,106590.9144895845,5.51237548196712,7.173830360431777,4.64,38019.154882695795,1376743.6252311605,"208 Michael Ferry Apt. 674
Laurabury, NE 37010-5101"
1,106193.18088946641,5.822812814026985,6.888924536441388,3.5,66156.68779681237,1957658.1893010351,"188 Johnson Views Suite 079
Lake Kathleen, CA 48958"
2,82124.67001940009,5.689913145100701,8.712687011106166,5.82,60737.2394655758,1376684.3842389104,"9127 Elizabeth Stravenue
Danieltown, WI 06482-3489"
3,84882.6216619455,6.972589011683083,5.717958042323174,3.7,56501.82822428638,1638801.8486182808,"USS Barnett
FPO AP 44820"
4,80376.14428244876,4.889337887413094,8.023530964556441,4.8,43399.73266104232,820226.5361401023,"USNS Raymond
FPO AE 09386"
5,107435.5105737103,4.838755524807703,6.247904290975804,4.58,44049.093897989245,1388579.4967115896,"06039 Jennifer Islands Apt. 443
Tracyport, KS 16077"
6,86695.94099336956,5.8445758296805375,8.339146259135118,3.87,100171.46477062456,1952672.56258673,"4759 Daniel Shoals Suite 442
Nguyenburgh, CO 20247"
7,105048.41463189134,6.780086355286733,6.775989611759612,2.74,60134.84230375759,2046117.533821038,"972 Joyce Viaduct
Lake William, TN 17778-6483"
8,80303.06548988851,5.201261802515472,6.543292098008801,2.61,48394.92419489485,1038530.3926831123,"USS Gilbert
FPO AA 20957"
9,109727.1424266882,4.290961636200939,8.359542785864289,6.92,66118.63632540376,2008701.2564345512,"Unit 9446 Box 0958
DPO AE 97025"
10,107906.81259111666,7.8507073002201695,5.16119832344224,4.65,77768.69084967553,2219159.4388054754,"6368 John Motorway Suite 700
Janetbury, NM 26854"
11,67795.55196603737,4.361617409304124,7.643038123659767,5.09,56557.40589242452,862852.1159652255,"911 Castillo Park Apt. 717
Davisborough, PW 78603"
12,52305.30437755638,7.4416027116687955,7.420328769996142,3.52,64587.77157145858,1355658.3271661208,"209 Natasha Stream Suite 961
Huffmanland, NE 52457"
13,98039.30901100258,6.711948780692858,6.133964796449056,2.57,53234.396089414055,1678730.9740315669,"829 Welch Track Apt. 992
North John, AR 26532-5136"
14,92984.44944704455,5.184432891433653,8.603880134821615,4.96,58496.17747265778,1823663.673215607,"PSC 5330, Box 4420
APO AP 08302"
15,97943.10143940311,5.27986177253941,8.717584695648306,4.55,39406.94515658519,1698677.0579365592,"2278 Shannon View
North Carriemouth, NM 84617"
16,106807.33049726096,4.9158529033272025,8.412849311324191,3.54,65406.971649624495,2023822.5802532074,"064 Hayley Unions
Nicholsborough, HI 44161-1887"
17,82984.96320423961,4.644893734551712,5.216735682320867,4.88,40504.3301005026,687030.8207497754,"5498 Rachel Locks
New Gregoryshire, PW 54755"
18,85100.98036123616,5.7687501853658985,7.356610938861766,5.81,58822.833488048476,1325253.717785181,"Unit 7424 Box 2786
DPO AE 71255"
19,83194.27038056254,5.567228518321657,7.258391022210086,6.23,73977.35914826006,1339768.857975091,"19696 Benjamin Cape
Stephentown, ME 36952-4733"
20,115635.29877887218,6.428633231588285,8.200093205190106,4.62,78322.69714641903,2791002.9418552606,"030 Larry Park Suite 665
Thomashaven, HI 87941-5197"
21,81519.02057166432,5.384684944230618,6.670260121439326,2.38,75052.11308057215,1208021.87939732,"USNS Brown
FPO AP 85833"
22,86417.47135745181,4.0840131839531955,5.606765188706303,4.89,66462.80652797538,934553.4009512061,"95198 Ortiz Key
Port Sara, TN 24541-2855"
23,81334.45106286075,5.985369568113345,7.318498991748635,7.19,46342.31521741419,967199.7649082566,"9003 Jay Plains Suite 838
Lake Elizabeth, IN 90622-0804"
24,80063.46635254547,5.179159684323523,7.930694143626663,4.8,45797.259155499836,1164458.27339856,"24282 Paul Valley
West Perry, MI 03169-5806"
